TCGplayer Id,Product Line,Set Name,Product Name,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,My totals,My Store Price,Photo URL,Sold For ,Listed Where,Sold When,Where is it?,Sold For,Profit
8882940,Magic,Avatar: The Last Airbender,Fated Firepower,132,M,Near Mint,4.72,,,,,1,4.72,4.72,4.72,https://user-content.cardcastle.co/uploads/card_user/scanned_image/9b5d5287-dc6d-4067-9bd8-751be83bf98a.jpg,,,,81326,,
7927454,Magic,Modern Horizons 3,Flare of Duplication,119,R,Near Mint Foil,2.52,,,,,1,2.52,2.52,2.52,https://user-content.cardcastle.co/uploads/card_user/scanned_image/8ac9b02a-4ffc-468b-833b-e59a19279df6.jpg,,,,81326,,
7927449,Magic,Modern Horizons 3,Flare of Duplication,119,R,Near Mint,1.68,,,,,1,1.68,1.68,1.68,https://user-content.cardcastle.co/uploads/card_user/scanned_image/2ae3ea42-cb3e-4754-95ef-93d808f93e7e.jpg,,,,81326,,
7931319,Magic,Modern Horizons 3,Flare of Duplication (Retro Frame),416,R,Near Mint,3.36,,,,,1,3.36,3.36,3.36,https://user-content.cardcastle.co/uploads/card_user/scanned_image/f64f4f3e-a99d-4331-80a0-de10384dcf92.jpg,,,,81326,,
9079710,Magic,Lorwyn Eclipsed,Collective Inferno,132,R,Near Mint,1.56,,,,,2,1.56,3.12,1.56,https://user-content.cardcastle.co/uploads/card_user/scanned_image/e0414933-5cad-4eb0-b178-21b1b4b7ac8c.jpg,,Online,,81326,$1.56,0.78
3608762,Magic,Masters 25,Protean Hulk,185,R,Near Mint,6.43,,,,,1,6.43,6.43,6.43,https://user-content.cardcastle.co/uploads/card_user/scanned_image/7afa2338-494b-4b50-baaa-f98492df97f9.jpg,,,,81326,,
4269898,Magic,The List Reprints,"Selvala, Heart of the Wilds",CN2-70,M,Near Mint,6.15,,,,,1,6.15,6.15,6.15,https://user-content.cardcastle.co/uploads/card_user/scanned_image/c6f771d1-11f0-4ef2-a65d-e6f20ee3fc56.jpg,,,,81326,,
7250306,Magic,Commander Masters,Ohran Frostfang,309,R,Near Mint,6.94,,,,,2,6.94,13.88,6.94,https://user-content.cardcastle.co/uploads/card_user/scanned_image/8ad717c5-5a07-40a8-b0dc-ee66983d8196.jpg,$7.00,In store,8/18/2026,81326,,3.53
7927369,Magic,Modern Horizons 3,"Eladamri, Korvecdal",149,M,Near Mint,5,,,,,1,5,5,5,https://user-content.cardcastle.co/uploads/card_user/scanned_image/c983c535-ba5b-46ae-8746-6e29564527e4.jpg,,,,81326,,
7946055,Magic,Modern Horizons 3,Birthing Ritual,146,M,Near Mint,4.04,,,,,1,4.04,4.04,4.04,https://user-content.cardcastle.co/uploads/card_user/scanned_image/7c304a98-9f23-4bf0-a540-46517b1205a0.jpg,,,,81326,,
8802265,Magic,Edge of Eternities,Terrasymbiosis,210,R,Near Mint,7.39,,,,,1,7.39,7.39,7.39,https://user-content.cardcastle.co/uploads/card_user/scanned_image/865c68c5-5268-4c0a-962e-0329e64b2a42.jpg,,,,81326,,
7150658,Magic,Commander Masters,"Selvala, Heart of the Wilds",320,M,Near Mint,6.07,,,,,1,6.07,6.07,6.07,https://user-content.cardcastle.co/uploads/card_user/scanned_image/9bb69a43-7791-40df-8684-47416a6e3772.jpg,,,,81326,,
4743011,Magic,Commander: Kaldheim,Wolverine Riders,14,R,Near Mint,12.08,,,,,1,12.08,12.08,12.08,https://user-content.cardcastle.co/uploads/card_user/scanned_image/f06ed042-629a-4472-b270-e180073a71f6.jpg,,,,81326,,
9339012,Magic,Commander: Marvel Super Heroes,"Wolverine, Claws Out",737,R,Near Mint Foil,15.71,,,,,1,15.71,15.71,15.71,https://user-content.cardcastle.co/uploads/card_user/scanned_image/fd58a296-f01e-4d93-8605-09ea0510805d.jpg,,,,81326,,
7263690,Magic,Commander Masters,Kodama's Reach (Borderless),649,C,Near Mint,1.98,,,,,3,1.98,5.94,1.98,https://user-content.cardcastle.co/uploads/card_user/scanned_image/02b1b748-9da6-49f5-8761-c22e7f724b48.jpg,,,,81326,,
8804580,Magic,Edge of Eternities,Frenzied Baloth,183,R,Near Mint,1.28,,,,,1,1.28,1.28,1.28,https://user-content.cardcastle.co/uploads/card_user/scanned_image/f162ea75-0615-41de-ae63-45cbe75976d5.jpg,,,,81326,,
7263000,Magic,Commander Masters,Stonehoof Chieftain,325,R,Near Mint,3.13,,,,,1,3.13,3.13,3.13,https://user-content.cardcastle.co/uploads/card_user/scanned_image/2c59057f-c36b-47eb-b975-75c0f1b33d6b.jpg,,,,81326,,
8032120,Magic,Bloomburrow,Innkeeper's Talent,180,R,Near Mint,7.81,,,,,1,7.81,7.81,7.81,https://user-content.cardcastle.co/uploads/card_user/scanned_image/5578521f-cb5f-44d4-abd6-81c7e679417d.jpg,,,,81326,,
4891531,Magic,Commander 2021,"Ruxa, Patient Professor",66,R,Near Mint,3.89,,,,,1,3.89,3.89,3.89,https://user-content.cardcastle.co/uploads/card_user/scanned_image/24f7e0c1-2492-4ac0-87e9-afa39831b0b9.jpg,,,,81326,,
7927079,Magic,Modern Horizons 3,Pearl Medallion,294,R,Near Mint,5.48,,,,,2,5.48,10.96,5.48,https://user-content.cardcastle.co/uploads/card_user/scanned_image/fc4c15f1-cfdb-4560-af9d-07f5bfb28741.jpg,$5.99,In store,8/23/2026,81326,,3.25
9001211,Magic,Avatar: The Last Airbender,Agna Qel'a,264,R,Near Mint,1.29,,,,,1,1.29,1.29,1.29,https://user-content.cardcastle.co/uploads/card_user/scanned_image/d0bc1a83-85c3-4e4f-981d-8972640db497.jpg,,,,81326,,
8786258,Magic,Edge of Eternities,Stomping Ground,258,R,Near Mint,6.61,,,,,1,6.61,6.61,6.61,https://user-content.cardcastle.co/uploads/card_user/scanned_image/4eec9b65-a0d3-48c6-9168-9d1de742c417.jpg,,,,81326,,
9206417,Magic,Secrets of Strixhaven,Shattered Sanctum (Borderless),303,R,Near Mint Foil,3.72,,,,,1,3.72,3.72,3.72,https://user-content.cardcastle.co/uploads/card_user/scanned_image/72fe0d43-f51d-4c04-bb14-489d8234b7fb.jpg,,,,81326,,
8626906,Magic,Commander: Tarkir: Dragonstorm,Shattered Sanctum,391,R,Near Mint,1.88,,,,,1,1.88,1.88,1.88,https://user-content.cardcastle.co/uploads/card_user/scanned_image/b64ddcc1-668d-4ceb-8578-736b952186dc.jpg,,,,81326,,
9010107,Magic,Avatar: The Last Airbender,Abandoned Air Temple,263,R,Near Mint,6.03,,,,,2,6.03,12.06,6.03,https://user-content.cardcastle.co/uploads/card_user/scanned_image/f3bc7c30-caee-4aa5-9a7a-8c1c595c88e9.jpg,,,,81326,,
7266826,Magic,Commander Masters,Reliquary Tower,425,U,Near Mint Foil,5.91,,,,,1,5.91,5.91,5.91,https://user-content.cardcastle.co/uploads/card_user/scanned_image/37b421b4-9233-4d3d-b28c-d72298320a64.jpg,$4.75,In store,8/21/2026,81326,,1.795
9304963,Magic,Marvel Super Heroes,Training Compound,275,R,Near Mint,1.66,,,,,1,1.66,1.66,1.66,https://user-content.cardcastle.co/uploads/card_user/scanned_image/4ef03b95-8ffe-4fc5-a1fa-e9ee9e80a2ed.jpg,,,,81326,,
7266821,Magic,Commander Masters,Reliquary Tower,425,U,Near Mint,3.89,,,,,3,3.89,11.67,3.89,https://user-content.cardcastle.co/uploads/card_user/scanned_image/89f04ca0-92a0-4b45-a62a-1b2438dea6d0.jpg,$4.75,In store,8/21/2026,81326,,2.805
7283114,Magic,Commander Masters,Mystic Gate,1013,R,Near Mint,4.29,,,,,1,4.29,4.29,4.29,https://user-content.cardcastle.co/uploads/card_user/scanned_image/21bcd313-d323-4f55-ba49-41df99e41ace.jpg,,,,81326,,
7283514,Magic,Commander Masters,Spectator Seating,427,R,Near Mint,13.51,,,,,1,13.51,13.51,13.51,https://user-content.cardcastle.co/uploads/card_user/scanned_image/190ce53a-e5a7-4e50-8a9b-3d74c0852183.jpg,$10.50,In store,8/24/2026,81326,,3.745
8786198,Magic,Edge of Eternities,Sacred Foundry,256,R,Near Mint,10.18,,,,,1,10.18,10.18,10.18,https://user-content.cardcastle.co/uploads/card_user/scanned_image/a669bff8-3a69-4029-9ed8-8f809af27324.jpg,$10.19,In store,8/16/2026,81326,,5.1
7666919,Magic,Murders at Karlov Manor,Meticulous Archive,264,R,Near Mint,10.46,,,,,1,10.46,10.46,10.46,https://user-content.cardcastle.co/uploads/card_user/scanned_image/c9413e21-a9e1-480d-99dd-af9fa370765c.jpg,$12.00,In store,8/24/2026,81326,,6.77
